"","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"3913","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Pt",2015-09-28 12:00:00,NA,"ICP-MS 2008/2016"
"3956","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","MES",2015-09-28 13:40:00,13.65,"Filtration sur filtre en fibres de verre"
"3957","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","MES",2015-09-28 14:00:00,12,"Filtration sur filtre en fibres de verre"
"16712","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Hg_sol",2015-09-30 13:50:00,71.3,"Lumex_Sol"
"16713","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Pt_sol",2015-09-30 13:50:00,1.72,"ICP-MS 2008/2016"
"16714","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Zn_sol",2015-09-30 13:50:00,48.038,"ICP-OES-2"
"16715","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","V_sol",2015-09-30 13:50:00,25.43,"ICP-OES-2"
"16716","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Ti_sol",2015-09-30 13:50:00,1524.36,"ICP-OES-2"
"16717","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Sr_sol",2015-09-30 13:50:00,109.651,"ICP-OES-2"
"16718","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Pb_sol",2015-09-30 13:50:00,48.814,"ICP-OES-2"
"16719","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","P_sol",2015-09-30 13:50:00,690.1,"ICP-OES-2"
"16720","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Ni_sol",2015-09-30 13:50:00,9.702,"ICP-OES-2"
"16721","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Na_sol",2015-09-30 13:50:00,9481.22,"ICP-OES-2"
"16722","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Mo_sol",2015-09-30 13:50:00,NA,"ICP-OES-2"
