Date;Time;Valeur[l/s];État de la valeur;Interpolation;valid[%];Qualité;Interpolation;invalid[%];Qualité;Interpolation;missing[%];Qualité;Interpolation;Tags;Comments
27/05/201611:00:00;11:00:00;3.767;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
27/05/201612:00:00;12:00:00;11.997;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
27/05/201613:00:00;13:00:00;2.010;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
27/05/201614:00:00;14:00:00;0.684;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
27/05/201615:00:00;15:00:00;3.441;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
27/05/201616:00:00;16:00:00;2.691;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
27/05/201617:00:00;17:00:00;5.335;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
27/05/201618:00:00;18:00:00;1.415;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
27/05/201619:00:00;19:00:00;6.092;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
27/05/201620:00:00;20:00:00;8.465;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
27/05/201621:00:00;21:00:00;8.852;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
27/05/201622:00:00;22:00:00;13.018;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
27/05/201623:00:00;23:00:00;31.760;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
28/05/201600:00:00;00:00:00;7.936;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
28/05/201601:00:00;01:00:00;11.566;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
28/05/201602:00:00;02:00:00;10.142;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
28/05/201603:00:00;03:00:00;15.817;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
28/05/201604:00:00;04:00:00;2.854;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
28/05/201605:00:00;05:00:00;12.806;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
28/05/201606:00:00;06:00:00;6.299;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
28/05/201607:00:00;07:00:00;1.421;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
28/05/201608:00:00;08:00:00;13.692;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
28/05/201609:00:00;09:00:00;1.022;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
28/05/201610:00:00;10:00:00;5.859;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
28/05/201611:00:00;11:00:00;1.851;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
28/05/201612:00:00;12:00:00;3.368;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
28/05/201613:00:00;13:00:00;4.212;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
28/05/201614:00:00;14:00:00;3.006;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
28/05/201615:00:00;15:00:00;8.832;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
28/05/201616:00:00;16:00:00;16.141;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
28/05/201617:00:00;17:00:00;2.781;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
28/05/201618:00:00;18:00:00;35.626;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
28/05/201619:00:00;19:00:00;13.220;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
28/05/201620:00:00;20:00:00;2.762;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
28/05/201621:00:00;21:00:00;0.436;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
28/05/201622:00:00;22:00:00;0.511;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
28/05/201623:00:00;23:00:00;0.393;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
29/05/201600:00:00;00:00:00;0.397;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
29/05/201601:00:00;01:00:00;0.510;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
29/05/201602:00:00;02:00:00;0.470;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
